Player;Squad;Pos;Age;MP;Min;Gls;G-PK;Ast;xG;xA;Gls/90;G-PK/90;Ast/90;xG/90;xA/90;Competition;Sh;Sh/90;SoT/90;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xA;Press%;TklW/90;Blocks/90;Int/90;Tkl+Int/90;Touches/90;Dribbles/90;Dribbles%;SCA/90;GCA/90;Aerial%;Points/90;xGA;OG;PSxG;PSxG/SoT;PSxG+/-;GA;GA/90;Save%;CS%;SoTA/90;SoTA/GA;SoT/G;G-xG;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;xGA/90;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90
Che Adams;Southampton;FW;25;16;1029;4;4;1;2.7;1.4;0.35;0.35;0.09;0.24;0.13;Premier League;23;2.01;1.14;67.8;80.5;65.6;45.0;-0.4;24.0;0.38;1.0;0.5;1.06;24.25;0.31;38.5;1.92;0.17;32.9;1.19;16.6;0;0;0;0;0;0;0.0;0;0.0;0.0;3.25;1.2999999999999998;9.88;14.56;6.19;2.62;0.56;139.12;29.56;0.62;0.44;0.38;0.06;1.0;1.04;4.31;1.12;1.62;1.75;-13.900000000000002;-0.8
Rayan Aït Nouri;Wolves;DF;20;11;898;0;0;2;0.3;0.9;0.0;0.0;0.2;0.03;0.09;Premier League;6;0.60;0.20;72.1;91.0;75.7;37.1;1.1;32.9;2.27;1.64;1.73;5.73;60.82;2.0;57.9;2.20;0.40;54.5;1.36;14.7;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.3;34.27;47.55;18.36;12.73;3.0;573.0;211.36;0.73;1.36;0.64;0.36;2.09;1.34;6.91;0.91;0.91;1.09;-14.399999999999999;-1.31
Kristoffer Ajer;Brentford;DF;23;10;835;0;0;0;0.2;0.6;0.0;0.0;0.0;0.02;0.06;Premier League;3;0.32;0.00;68.5;81.5;74.4;44.1;-0.6;32.1;0.7;1.6;1.9;3.3;47.3;0.7;77.8;1.19;0.11;68.4;0.90;11.6;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;25.0;36.5;9.7;12.2;2.6;456.7;204.1;0.2;1.8;0.5;0.1;2.4;1.16;9.3;0.9;1.3;3.9;-11.4;-1.14
Nathan Aké;Manchester City;DF;26;8;581;1;1;0;0.3;0.0;0.15;0.15;0.0;0.04;0.0;Premier League;2;0.31;0.15;92.1;94.8;92.4;79.1;0.0;30.8;0.5;1.0;1.5;2.25;68.62;0.0;0.0;0.00;0.00;96.6;2.38;4.9;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;0.7;57.0;61.88;25.0;27.38;4.25;1013.75;288.88;0.0;3.88;0.38;0.0;1.88;0.61;6.0;0.75;0.12;3.5;-4.6000000000000005;-0.57
Marc Albrighton;Leicester City;DF,FW;32;10;547;1;1;0;0.5;0.3;0.16;0.16;0.0;0.08;0.04;Premier League;3;0.49;0.16;60.6;89.7;65.7;18.2;-0.3;20.6;0.9;1.2;1.5;3.6;27.7;1.2;54.5;0.99;0.00;37.5;1.40;16.0;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;0.5;12.3;20.3;7.0;4.4;0.8;207.0;94.3;0.4;1.0;0.5;0.2;1.4;1.6;3.0;0.5;0.7;0.3;-15.5;-1.52
Thiago Alcántara;Liverpool;MF;30;11;676;1;1;1;1.5;1.0;0.13;0.13;0.13;0.19;0.13;Premier League;16;2.13;0.67;87.3;90.7;91.0;78.1;0.0;40.5;1.73;0.82;1.0;3.36;65.27;0.18;33.3;3.86;0.27;70.4;2.55;4.7;0;0;0;0;0;0;0.0;0;0.0;0.0;5.0;-0.5;51.18;58.64;17.73;23.91;9.09;1085.82;303.82;0.91;7.82;0.73;0.0;7.18;0.43;9.91;1.09;0.82;1.73;-3.2;-0.24
Trent Alexander-Arnold;Liverpool;DF;23;20;1773;2;2;10;2.0;7.5;0.1;0.1;0.51;0.1;0.38;Premier League;34;1.73;0.51;74.9;87.5;81.3;56.9;2.5;37.4;0.85;1.35;2.55;3.9;95.2;0.8;61.5;5.18;0.71;48.0;2.20;20.5;0;0;0;0;0;0;0.0;0;0.0;0.0;5.0;0.0;64.4;86.0;24.25;25.4;13.95;1403.8;572.4;2.9;6.8;3.0;0.75;9.4;1.02;9.9;0.5;0.35;0.6;-18.5;-0.92
Alisson;Liverpool;GK;29;20;1800;0;0;0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;Premier League;0;0.00;0.00;85.7;99.1;98.6;62.6;-0.1;50.0;0.0;0.0;0.0;0.0;39.45;0.05;50.0;0.10;0.00;0;2.20;21.2;1;18.8;0.35;+2.8;17;0.85;69.1;50.0;2.75;3.24;0.0;0.0;31.1;36.3;5.25;17.6;8.2;817.1;449.1;0.05;0.35;0.0;0.0;0.0;1.06;6.25;0.0;0.1;0.0;-21.2;-1.06
Allan;Everton;MF;31;17;1447;0;0;2;0.1;0.5;0.0;0.0;0.12;0.01;0.03;Premier League;4;0.25;0.12;76.9;83.2;83.4;63.5;1.5;31.6;2.41;1.82;1.59;4.53;45.71;0.76;76.5;1.43;0.37;46.7;1.06;22.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;27.41;35.65;9.29;13.0;4.29;548.59;171.12;0.71;3.47;0.82;0.12;4.41;1.31;10.47;1.24;0.88;0.41;-22.099999999999998;-1.3
Dele Alli;Tottenham;MF,FW;25;10;657;1;0;0;1.5;0.8;0.14;0.0;0.0;0.2;0.11;Premier League;4;0.55;0.27;78.0;87.0;81.2;51.9;-0.8;26.3;0.7;2.5;1.7;3.6;33.1;0.5;27.8;1.10;0.14;45.8;1.40;11.1;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.5;16.7;21.4;9.4;5.6;1.4;268.7;65.1;0.2;1.3;0.5;0.0;1.9;1.11;4.6;1.3;1.5;1.1;-9.6;-0.9100000000000001
Miguel Almirón;Newcastle Utd;MF;27;17;980;0;0;0;0.9;0.4;0.0;0.0;0.0;0.08;0.04;Premier League;16;1.47;0.28;78.0;86.7;78.3;66.7;-0.4;23.8;1.18;0.88;0.88;2.88;24.41;0.47;42.1;2.66;0.28;26.7;0.65;21.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.9;12.53;16.06;6.88;4.24;1.18;204.47;50.65;0.59;0.76;0.29;0.06;1.18;1.29;4.53;0.76;1.0;0.24;-21.0;-1.21
Marcos Alonso;Chelsea;DF;31;18;1431;1;1;2;1.8;2.8;0.06;0.06;0.13;0.11;0.17;Premier League;25;1.57;0.31;75.9;88.3;81.7;44.8;-0.8;26.8;1.22;1.61;2.67;4.61;62.44;0.61;42.3;3.08;0.38;68.6;1.72;15.4;0;0;0;0;0;0;0.0;0;0.0;0.0;5.0;-0.8;37.56;49.5;18.0;15.11;3.56;661.22;242.67;1.39;2.44;0.94;0.44;3.72;0.86;7.56;1.33;1.28;1.94;-13.6;-0.75
Steven Alzate;Brighton;MF;23;6;250;0;0;0;0.1;0.2;0.0;0.0;0.0;0.03;0.08;Premier League;1;0.36;0.36;90.2;91.2;96.0;80.0;-0.2;26.9;0.83;0.5;2.0;2.83;28.17;0.17;50.0;1.80;0.00;22.2;1.67;4.1;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;20.0;22.17;8.67;8.0;2.67;346.67;98.0;0.5;1.83;0.5;0.17;2.0;0.68;5.5;0.67;1.17;0.33;-3.9999999999999996;-0.65
Daniel Amartey;Leicester City;DF;27;11;876;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Premier League;1;0.10;0.10;88.6;93.7;92.8;73.8;0.0;28.6;0.27;1.91;1.27;2.0;58.64;0.27;60.0;0.82;0.00;50.0;1.55;18.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;43.91;49.55;13.55;24.73;5.36;876.18;274.36;0.09;1.73;0.0;0.0;2.73;1.65;7.36;0.82;0.64;1.55;-18.2;-1.65
Joachim Andersen;Crystal Palace;DF;25;18;1476;0;0;1;0.3;0.7;0.0;0.0;0.06;0.02;0.04;Premier League;4;0.24;0.06;85.7;91.3;94.9;70.7;0.3;30.0;0.67;1.17;2.06;3.11;68.83;0.11;50.0;0.91;0.18;60.3;1.17;21.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.3;50.61;59.06;9.28;26.94;14.22;1284.28;372.33;0.39;3.83;0.22;0.06;2.28;1.18;6.67;0.5;0.22;1.94;-20.9;-1.16
Michail Antonio;West Ham;FW;31;22;1927;8;8;6;7.8;5.0;0.37;0.37;0.28;0.36;0.23;Premier League;57;2.66;0.84;64.8;76.4;67.1;56.1;1.0;30.6;0.64;0.64;0.36;1.18;35.95;1.09;44.4;3.41;0.56;32.9;1.68;27.3;0;0;0;0;0;0;0.0;0;0.0;0.0;2.25;0.20000000000000018;14.05;21.68;7.64;4.27;1.45;229.68;44.95;1.59;0.68;1.05;0.45;1.14;1.24;4.27;1.55;1.95;2.32;-19.5;-0.88
Cameron Archer;Aston Villa;MF,FW;20;3;27;0;0;0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;Premier League;1;3.33;0.00;100.0;100.0;100.0;0;0.0;0.0;0.0;0.0;0.33;0.33;4.0;0.33;50.0;0.00;0.00;33.3;1.00;0.8;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;1.67;1.67;0.33;1.33;0.0;30.33;9.33;0.0;0.0;0.33;0.0;1.0;0.27;0.67;1.0;0.0;0.33;-0.8;-0.2
Alphonse Areola;West Ham;GK;28;1;90;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Premier League;0;0.00;0.00;48.8;0;100.0;34.4;0.0;0;0.0;0.0;0.0;0.0;42.0;0.0;0;0.00;0.00;0;0.00;1.8;0;1.4;0.48;+0.4;1;1.00;66.7;0.0;3.0;3.0;0.0;0.0;20.0;41.0;0.0;9.0;11.0;768.0;546.0;0.0;0.0;0.0;0.0;0.0;1.8;2.0;0.0;0.0;0.0;-1.8;-1.8
Adam Armstrong;Southampton;FW;24;18;1197;2;2;2;4.1;1.7;0.15;0.15;0.15;0.31;0.13;Premier League;43;3.23;1.05;69.5;75.5;75.0;51.9;0.3;27.7;0.33;0.39;0.44;0.94;22.33;0.78;48.3;1.95;0.23;25.0;0.94;21.5;0;0;0;0;0;0;0.0;0;0.0;0.0;7.0;-2.0999999999999996;10.0;14.39;4.44;4.5;0.78;173.5;28.17;0.67;0.67;0.61;0.0;1.11;1.19;2.78;0.67;0.44;0.56;-17.4;-0.8799999999999999
Stuart Armstrong;Southampton;MF;29;9;339;0;0;0;0.6;0.4;0.0;0.0;0.0;0.15;0.11;Premier League;5;1.33;0.27;70.2;72.3;79.2;50.0;-0.4;33.9;0.33;0.56;0.78;1.22;18.56;0.33;42.9;2.92;0.00;45.5;2.00;6.3;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.6;10.22;14.56;5.22;4.22;0.56;167.0;37.33;0.78;0.67;0.11;0.0;1.0;0.7;3.33;0.22;0.56;0.56;-5.7;-0.5499999999999999
Kepa Arrizabalaga;Chelsea;GK;27;4;360;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Premier League;0;0.00;0.00;82.7;100.0;100.0;52.9;0.0;0;0.0;0.0;0.0;0.0;37.25;0.0;0;0.00;0.00;0;1.75;2.5;0;3.5;0.27;+1.5;2;0.50;84.6;50.0;3.25;6.5;0.0;0.0;28.75;34.75;7.0;14.75;6.75;690.75;323.5;0.0;0.25;0.0;0.0;0.0;0.62;4.25;0.0;0.25;0.0;-2.5;-0.62
Harrison Ashby;West Ham;DF;20;1;7;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Premier League;0;0.00;0.00;87.5;100.0;80.0;100.0;0.0;0;0.0;1.0;1.0;1.0;9.0;0.0;0;0.00;0.00;0;0.00;0.1;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;7.0;8.0;2.0;4.0;1.0;142.0;18.0;0.0;0.0;0.0;0.0;0.0;0.1;1.0;0.0;0.0;0.0;-0.1;-0.1
Pierre-Emerick Aubameyang;Arsenal;FW;32;14;1037;4;4;1;5.8;0.8;0.35;0.35;0.09;0.5;0.07;Premier League;33;2.86;1.39;70.6;80.2;64.5;57.1;0.2;26.4;0.5;1.36;0.07;0.93;22.93;0.14;33.3;2.00;0.26;46.7;1.64;16.9;0;0;0;0;0;0;0.0;0;0.0;0.0;4.0;-1.7999999999999998;10.29;14.57;6.64;2.86;0.57;143.29;27.36;0.64;0.29;0.71;0.07;0.93;1.21;2.71;1.29;0.86;2.0;-11.099999999999998;-0.71
Jordan Ayew;Crystal Palace;FW;30;20;1332;1;1;2;2.2;2.1;0.07;0.07;0.14;0.15;0.14;Premier League;27;1.82;0.34;75.8;88.9;79.4;43.3;-0.1;28.9;1.15;1.35;0.9;2.65;38.65;1.4;48.3;2.57;0.27;33.3;1.10;19.0;0;0;0;0;0;0;0.0;0;0.0;0.0;5.0;-1.2000000000000002;19.15;25.25;10.85;6.55;1.3;293.85;58.6;0.9;0.9;0.65;0.2;1.6;0.95;5.1;1.4;2.65;0.9;-16.8;-0.7999999999999999
Luke Ayling;Leeds United;DF;30;12;1078;1;1;2;0.5;0.1;0.08;0.08;0.17;0.04;0.01;Premier League;9;0.75;0.17;80.7;88.3;90.1;60.2;1.9;36.3;1.33;2.58;1.75;4.0;78.0;1.0;75.0;1.00;0.17;50.0;0.83;24.9;0;0;0;0;0;0;0.0;0;0.0;0.0;2.0;0.5;53.92;66.83;18.25;24.92;10.33;1175.25;495.0;0.25;4.5;0.42;0.17;5.0;2.07;10.42;0.42;0.75;2.42;-24.4;-2.03
César Azpilicueta;Chelsea;DF;32;17;1390;0;0;2;0.7;1.8;0.0;0.0;0.13;0.04;0.12;Premier League;8;0.52;0.13;81.9;90.4;86.5;47.0;0.2;26.8;1.35;2.47;1.29;3.82;74.94;0.53;81.8;2.14;0.52;58.1;1.94;15.4;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.7;53.12;64.82;25.47;24.12;3.18;894.0;356.06;0.82;3.59;0.94;0.06;4.76;0.91;6.88;1.0;0.47;2.12;-14.700000000000001;-0.87
Daniel Bachmann;Watford;GK;27;11;990;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Premier League;0;0.00;0.00;58.8;100.0;96.2;42.4;0.0;0;0.0;0.0;0.0;0.0;32.91;0.09;100.0;0.00;0.00;0;0.27;20.2;2;21.2;0.31;-2.8;26;2.36;62.3;0.0;5.55;2.35;0.0;0.0;17.55;29.82;1.82;6.91;8.82;665.82;453.73;0.0;0.82;0.0;0.0;0.0;1.84;4.64;0.09;0.18;0.0;-20.2;-1.84
Leon Bailey;Aston Villa;FW,MF;24;9;424;1;1;2;1.1;0.3;0.21;0.21;0.42;0.24;0.06;Premier League;13;2.76;1.06;66.4;81.3;72.1;42.4;1.7;37.3;1.11;0.67;0.33;2.0;23.11;1.11;58.8;2.76;0.64;45.5;1.00;3.3;0;0;0;0;0;0;0.0;0;0.0;0.0;5.0;-0.10000000000000009;9.67;14.56;4.33;3.44;1.56;174.11;39.33;0.56;0.33;0.67;0.22;1.33;0.37;2.56;0.33;0.78;0.56;-2.1999999999999997;-0.13
Eric Bailly;Manchester Utd;DF;27;4;217;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Premier League;0;0.00;0.00;80.0;92.3;86.7;63.6;0.0;42.9;0.75;1.25;2.25;4.25;28.25;0.0;0.0;0.41;0.00;66.7;1.75;5.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;16.0;20.0;6.0;6.5;3.5;341.25;114.75;0.0;0.5;0.0;0.0;0.75;1.25;5.75;0.5;0.0;1.0;-5.0;-1.25
Folarin Balogun;Arsenal;FW;20;2;70;0;0;0;0.3;0.0;0.0;0.0;0.0;0.35;0.0;Premier League;3;3.86;0.00;50.0;50.0;66.7;0.0;0.0;23.8;0.0;0.5;0.0;0.0;11.5;0.0;0.0;0.00;0.00;33.3;0.00;1.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.3;2.0;4.0;1.0;1.0;0.0;30.0;3.0;0.0;0.0;0.0;0.0;0.0;0.5;1.5;0.0;0.5;0.5;-0.7;-0.15000000000000002
Patrick Bamford;Leeds United;FW;28;6;459;2;2;2;3.2;0.6;0.39;0.39;0.39;0.63;0.11;Premier League;16;3.14;0.98;80.7;91.3;80.8;63.6;1.4;34.0;0.17;1.0;0.5;0.83;25.17;0.5;42.9;1.76;0.59;25.0;0.67;10.3;0;0;0;0;0;0;0.0;0;0.0;0.0;2.5;-1.2000000000000002;11.83;14.67;7.0;3.5;1.17;186.83;24.83;0.67;0.67;0.67;0.17;1.0;1.72;2.83;0.83;1.0;0.67;-7.1000000000000005;-1.0899999999999999
Shandon Baptiste;Brentford;MF;23;17;817;1;1;1;0.5;0.4;0.11;0.11;0.11;0.06;0.05;Premier League;11;1.21;0.44;82.1;88.0;84.8;65.5;0.6;31.9;0.24;0.71;0.94;1.41;20.24;0.59;71.4;1.43;0.11;32.1;1.12;9.4;0;0;0;0;0;0;0.0;0;0.0;0.0;4.0;0.5;12.18;14.82;6.06;4.59;1.12;207.06;41.53;0.41;1.24;0.24;0.06;0.94;0.55;4.47;0.35;0.76;0.53;-8.9;-0.49000000000000005
Ross Barkley;Chelsea;MF;28;5;154;0;0;0;0.8;0.5;0.0;0.0;0.0;0.48;0.32;Premier League;6;3.51;0.58;81.8;90.9;81.3;78.6;-0.5;20.0;0.2;0.2;0.4;0.6;26.2;0.8;80.0;9.94;1.75;71.4;2.20;0.4;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.8;18.0;22.0;10.0;5.2;2.2;300.0;68.4;1.4;1.2;1.2;0.0;2.0;0.08;2.0;0.4;0.8;1.0;0.4;0.39999999999999997
Ashley Barnes;Burnley;FW;32;8;382;0;0;0;0.7;0.8;0.0;0.0;0.0;0.16;0.19;Premier League;8;1.88;0.71;65.2;74.0;69.6;50.0;-0.8;17.5;0.62;0.38;0.38;1.12;17.0;0.12;33.3;3.06;0.00;39.6;0.38;7.6;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.7;7.25;11.12;4.62;2.0;0.62;111.5;30.0;0.88;1.12;0.38;0.0;1.0;0.95;3.5;1.75;1.0;2.38;-6.8999999999999995;-0.7899999999999999
Harvey Barnes;Leicester City;FW,MF;24;16;1104;2;2;3;3.4;2.1;0.16;0.16;0.24;0.28;0.17;Premier League;30;2.45;1.06;72.8;84.7;69.9;35.7;0.9;32.2;0.31;0.81;0.25;1.0;34.06;1.0;35.6;2.45;0.33;40.5;1.06;20.5;0;0;0;0;0;0;0.0;0;0.0;0.0;6.5;-1.4;16.75;23.0;10.38;4.94;0.62;232.12;61.44;0.94;0.75;0.56;0.12;2.0;1.28;4.06;0.69;1.19;0.94;-17.1;-1.0
Lewis Bate;Leeds United;MF;19;1;43;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Premier League;0;0.00;0.00;78.9;80.0;100.0;0.0;0.0;23.1;0.0;0.0;2.0;3.0;29.0;1.0;50.0;2.09;0.00;0.0;3.00;1.1;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;15.0;19.0;12.0;3.0;0.0;181.0;31.0;0.0;0.0;0.0;0.0;1.0;1.1;6.0;1.0;0.0;0.0;-1.1;-1.1
Mads Bech Sørensen;Brentford;DF;23;5;380;0;0;0;0.0;0.2;0.0;0.0;0.0;0.01;0.04;Premier League;1;0.24;0.00;74.9;85.3;84.7;46.2;-0.2;41.2;0.8;0.4;1.6;2.6;53.4;0.0;0;1.18;0.00;55.6;1.20;5.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;35.8;47.8;11.6;18.8;4.8;717.4;295.6;0.6;2.6;0.4;0.4;1.0;1.18;8.4;0.4;0.4;1.0;-5.9;-1.17
Jan Bednarek;Southampton;DF;25;17;1414;3;3;0;1.4;0.2;0.19;0.19;0.0;0.09;0.01;Premier League;10;0.64;0.32;81.5;91.2;89.3;51.0;-0.2;33.8;0.76;1.94;2.94;4.18;56.35;0.12;100.0;0.76;0.00;64.9;1.24;22.5;0;0;0;0;0;0;0.0;0;0.0;0.0;1.67;1.6;36.65;44.94;11.65;20.12;4.59;743.12;227.0;0.18;2.29;0.06;0.06;1.53;1.32;9.29;1.18;0.53;3.71;-21.1;-1.23
Donny van de Beek;Manchester Utd;MF;24;8;75;1;1;0;0.7;0.5;1.2;1.2;0.0;0.88;0.58;Premier League;2;2.40;1.20;78.1;77.8;80.0;100.0;-0.5;37.5;0.38;0.25;0.25;0.88;6.62;0.38;75.0;6.00;0.00;50.0;1.75;1.6;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;0.30000000000000004;3.12;4.0;1.75;1.0;0.25;48.12;23.0;0.38;0.25;0.25;0.0;0.38;0.2;1.38;0.5;0.25;0.38;-0.9000000000000001;0.6799999999999999
Asmir Begović;Everton;GK;34;1;90;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Premier League;0;0.00;0.00;52.2;0;100.0;38.9;0.0;0;0.0;0.0;0.0;0.0;25.0;0.0;0;0.00;0.00;0;0.00;1.3;1;0.9;0.31;-1.1;3;3.00;0.0;0.0;3.0;1.0;0.0;0.0;12.0;23.0;0.0;5.0;7.0;453.0;291.0;0.0;0.0;0.0;0.0;0.0;1.3;2.0;0.0;0.0;0.0;-1.3;-1.3
Saïd Benrahma;West Ham;FW,MF;26;20;1438;5;5;4;3.3;2.1;0.31;0.31;0.25;0.21;0.13;Premier League;43;2.69;0.94;75.8;86.0;78.3;53.0;1.9;22.7;0.7;0.7;0.3;1.45;36.8;0.9;40.0;2.94;0.31;42.9;1.70;18.1;0;0;0;0;0;0;0.0;0;0.0;0.0;3.0;1.7000000000000002;20.65;27.25;11.95;6.5;1.75;329.55;75.95;1.0;1.2;1.15;0.45;2.1;0.91;5.2;0.2;0.7;0.6;-14.8;-0.7000000000000001
Christian Benteke;Crystal Palace;FW;31;21;1093;4;4;1;5.4;1.1;0.33;0.33;0.08;0.44;0.09;Premier League;39;3.21;1.07;70.3;76.2;63.3;69.2;-0.1;26.4;0.1;0.38;0.05;0.43;20.43;0.43;50.0;1.48;0.08;58.3;1.14;13.9;0;0;0;0;0;0;0.0;0;0.0;0.0;3.25;-1.4000000000000004;9.33;13.29;5.33;2.71;0.86;142.48;25.43;0.48;0.48;0.38;0.0;0.71;0.66;2.05;0.71;0.81;3.67;-8.5;-0.22000000000000003
Jóhann Berg Guðmundsson;Burnley;MF;31;18;1102;0;0;1;1.7;0.3;0.0;0.0;0.08;0.14;0.03;Premier League;19;1.55;0.33;63.2;81.2;65.2;34.9;0.7;26.0;0.5;1.0;0.94;2.0;27.33;0.78;63.6;1.55;0.16;56.8;0.67;17.6;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.7;12.11;19.17;7.44;3.22;1.22;193.72;50.17;0.33;0.33;0.67;0.61;0.72;0.98;5.33;0.94;0.89;1.17;-15.900000000000002;-0.84
Steven Bergwijn;Tottenham;FW;24;10;414;2;2;1;1.9;0.5;0.43;0.43;0.22;0.42;0.11;Premier League;13;2.83;1.52;83.9;96.8;81.5;60.0;0.5;11.7;0.2;0.3;0.4;0.7;18.2;0.7;53.8;3.48;0.65;16.7;2.10;6.0;0;0;0;0;0;0;0.0;0;0.0;0.0;3.5;0.10000000000000009;9.4;11.2;6.0;2.2;0.6;130.7;33.0;0.6;0.4;0.7;0.0;1.1;0.6;2.1;0.5;1.1;0.1;-4.1;-0.18
Ryan Bertrand;Leicester City;DF;32;4;337;0;0;0;0.0;0.3;0.0;0.0;0.0;0.0;0.08;Premier League;0;0.00;0.00;80.6;92.6;83.3;50.0;-0.3;33.3;1.0;2.75;0.75;3.0;57.0;0.0;0.0;0.53;0.00;37.5;0.50;6.3;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;38.5;47.75;18.75;16.25;2.25;652.25;269.25;0.5;2.75;0.25;0.0;1.75;1.57;4.25;1.25;0.25;0.75;-6.3;-1.57
Mads Bidstrup;Brentford;MF;20;4;41;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Premier League;0;0.00;0.00;72.7;83.3;50.0;100.0;0.0;42.1;0.5;0.25;0.25;1.25;5.75;0.0;0.0;0.00;0.00;0;1.75;0.7;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;2.0;2.75;1.25;0.5;0.25;35.5;4.25;0.0;0.0;0.0;0.0;0.0;0.17;1.5;0.25;0.0;0.0;-0.7;-0.17
Yves Bissouma;Brighton;MF;25;14;1210;0;0;1;0.6;0.6;0.0;0.0;0.07;0.04;0.04;Premier League;13;0.97;0.22;89.0;90.0;92.5;80.0;0.4;35.1;2.21;1.36;2.07;5.57;61.93;1.71;80.0;1.41;0.22;60.0;1.50;15.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.6;44.5;50.0;19.29;19.29;5.43;823.71;160.71;0.36;3.21;0.71;0.0;2.64;1.09;11.21;1.14;1.14;0.86;-14.6;-1.05
Jarrod Bowen;West Ham;FW;25;23;1944;6;6;7;8.1;4.3;0.28;0.28;0.32;0.37;0.2;Premier League;57;2.64;0.97;67.7;81.9;72.8;50.0;2.7;21.7;0.78;1.61;1.09;2.43;38.61;0.83;39.6;3.10;0.74;34.7;1.61;26.4;0;0;0;0;0;0;0.0;0;0.0;0.0;3.5;-2.0999999999999996;17.35;25.61;8.26;5.48;3.13;330.13;87.96;1.3;0.91;0.74;0.17;1.43;1.15;5.78;0.87;1.65;1.13;-18.299999999999997;-0.7799999999999999
Jarrad Branthwaite;Everton;DF;19;1;90;1;1;0;0.4;0.0;1.0;1.0;0.0;0.36;0.0;Premier League;1;1.00;1.00;27.8;60.0;33.3;12.5;0.0;77.8;2.0;3.0;3.0;6.0;28.0;0.0;0;0.00;0.00;66.7;1.00;2.7;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;0.6;5.0;18.0;3.0;1.0;1.0;99.0;70.0;0.0;0.0;0.0;0.0;0.0;2.7;8.0;1.0;1.0;2.0;-2.3000000000000003;-2.3400000000000003
Armando Broja;Southampton;FW;20;18;967;5;5;0;4.0;0.9;0.47;0.47;0.0;0.37;0.09;Premier League;23;2.14;1.02;57.8;66.7;49.1;28.6;-0.9;30.7;0.44;0.56;0.44;0.94;18.39;0.78;45.2;1.58;0.28;31.8;1.17;15.0;0;0;0;0;0;0;0.0;0;0.0;0.0;2.2;1.0;6.0;10.39;3.78;1.56;0.11;73.61;20.39;0.17;0.56;0.0;0.0;0.56;0.83;2.67;1.11;0.89;2.72;-11.0;-0.45999999999999996
Josh Brownhill;Burnley;MF;26;16;1293;0;0;0;0.6;1.0;0.0;0.0;0.0;0.04;0.07;Premier League;11;0.77;0.14;75.7;84.8;79.3;54.7;-1.0;29.8;0.94;1.31;2.0;3.56;38.75;0.31;62.5;1.88;0.00;54.5;0.75;21.8;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.6;23.38;30.88;11.81;8.12;2.94;413.19;99.25;0.94;2.19;0.5;0.0;2.69;1.36;8.69;1.44;0.62;1.5;-21.2;-1.32
