Player;Squad;Pos;Age;MP;Min;Gls;G-PK;Ast;xG;xA;Gls/90;G-PK/90;Ast/90;xG/90;xA/90;Competition;Sh;Sh/90;SoT/90;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xA;Press%;TklW/90;Blocks/90;Int/90;Tkl+Int/90;Touches/90;Dribbles/90;Dribbles%;SCA/90;GCA/90;Aerial%;Points/90;xGA;OG;PSxG;PSxG/SoT;PSxG+/-;GA;GA/90;Save%;CS%;SoTA/90;SoTA/GA;SoT/G;G-xG;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;xGA/90;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90
Marco Benassi;Fiorentina;DF,MF;27;6;158;0;0;0;0.1;0.1;0.0;0.0;0.0;0.06;0.03;Serie A;3;1.71;0.00;82.4;89.8;80.4;82.6;-0.1;28.0;0.5;0.5;0.67;1.17;24.5;0.17;100.0;0.57;0.00;42.9;0.50;2.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;18.0;21.83;7.33;7.5;3.17;356.67;103.0;0.17;1.67;0.17;0.0;1.5;0.48;2.33;0.67;0.0;0.5;-2.8;-0.42
Ismaël Bennacer;Milan;MF;24;19;798;1;1;1;0.4;1.4;0.11;0.11;0.11;0.05;0.16;Serie A;8;0.90;0.23;86.1;92.9;88.7;68.9;-0.4;34.7;1.05;0.47;1.0;2.47;40.84;1.11;100.0;3.38;0.34;46.7;2.11;9.1;0;0;0;0;0;0;0.0;0;0.0;0.0;2.0;0.6;30.63;35.58;12.32;12.84;4.89;605.05;174.89;0.79;3.26;0.63;0.16;3.53;0.48;5.63;0.53;1.74;0.37;-8.7;-0.43
Rodrigo Bentancur;Juventus;MF;24;19;1155;0;0;1;0.5;0.3;0.0;0.0;0.08;0.04;0.02;Serie A;8;0.62;0.08;87.5;91.9;91.3;76.2;0.7;33.6;1.42;1.16;2.0;3.84;46.79;0.26;71.4;2.73;0.23;57.9;2.05;10.7;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.5;34.84;39.84;13.68;16.53;4.05;652.53;149.68;0.42;4.11;0.26;0.0;2.89;0.56;6.42;1.37;0.63;1.16;-10.2;-0.52
Domenico Berardi;Sassuolo;FW;27;20;1743;10;7;8;7.3;4.8;0.52;0.36;0.41;0.38;0.25;Serie A;62;3.20;1.34;70.3;79.1;75.6;64.6;3.2;23.3;0.45;1.55;1.45;2.35;57.05;0.9;42.9;4.34;0.72;51.5;1.25;28.6;0;0;0;0;0;0;0.0;0;0.0;0.0;3.71;2.7;30.95;44.0;12.5;12.1;5.75;633.85;188.15;2.05;2.5;1.85;0.2;6.3;1.43;7.1;1.95;2.5;0.85;-21.3;-1.0499999999999998
Bartosz Bereszyński;Sampdoria;DF;29;21;1686;0;0;2;0.7;0.7;0.0;0.0;0.11;0.04;0.04;Serie A;6;0.32;0.05;75.8;85.9;76.2;54.1;1.3;32.1;1.14;2.33;1.19;3.14;51.38;0.62;50.0;1.44;0.32;78.3;0.95;28.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.7;32.0;42.19;16.24;11.76;2.81;523.19;214.38;0.48;2.0;0.76;0.33;2.62;1.38;8.62;1.14;0.9;1.71;-28.2;-1.3399999999999999
Federico Bernardeschi;Juventus;FW,MF;27;18;1055;1;1;3;1.3;1.5;0.09;0.09;0.26;0.11;0.13;Serie A;30;2.56;0.68;77.6;88.2;86.3;50.7;1.5;33.0;0.61;0.83;0.44;1.17;32.44;1.11;47.6;3.07;0.34;33.3;1.78;10.9;0;0;0;0;0;0;0.0;0;0.0;0.0;8.0;-0.30000000000000004;19.22;24.78;9.17;7.72;2.0;345.22;88.78;0.72;1.28;0.94;0.11;2.56;0.61;4.39;0.83;1.11;0.33;-9.6;-0.5
Daniel Bessa;Hellas Verona;MF,FW;29;13;352;1;1;0;0.2;0.4;0.26;0.26;0.0;0.06;0.09;Serie A;5;1.28;0.51;79.5;86.1;90.4;38.5;-0.4;31.3;0.23;0.54;0.23;0.54;22.15;0.46;85.7;3.58;0.26;54.5;1.77;6.3;0;0;0;0;0;0;0.0;0;0.0;0.0;2.0;0.8;14.92;18.77;6.69;6.54;1.15;249.54;65.77;0.54;1.0;0.46;0.0;1.46;0.48;3.54;0.92;0.38;0.46;-6.1;-0.42
Beto;Udinese;FW;23;20;1589;8;8;0;6.8;1.1;0.45;0.45;0.0;0.41;0.06;Serie A;42;2.38;1.02;70.1;76.4;64.7;61.9;-1.1;28.0;0.35;0.95;0.35;1.0;26.9;1.65;54.1;1.86;0.06;37.2;1.00;23.7;0;0;0;0;0;0;0.0;0;0.0;0.0;2.25;1.2000000000000002;9.75;13.9;5.65;2.75;0.65;141.85;23.45;0.65;0.7;0.2;0.0;0.7;1.19;3.55;1.8;0.9;2.75;-16.9;-0.78
Luis Binks;Bologna;DF;20;10;431;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Serie A;1;0.21;0.00;84.3;77.8;95.6;79.6;0.0;33.3;0.2;0.8;1.5;2.2;26.7;0.1;100.0;0.42;0.00;55.6;1.00;7.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;17.2;20.4;4.2;8.6;4.3;412.6;132.1;0.1;1.0;0.0;0.0;0.8;0.72;4.5;0.5;0.6;1.5;-7.2;-0.72
Cristiano Biraghi;Fiorentina;DF;29;21;1772;4;3;0;2.7;2.5;0.2;0.15;0.0;0.14;0.13;Serie A;20;1.02;0.41;82.7;94.0;88.8;62.0;-2.5;30.9;0.52;1.43;0.76;1.9;77.67;0.29;31.6;2.90;0.15;5.9;1.67;25.1;0;0;0;0;0;0;0.0;0;0.0;0.0;2.67;1.2999999999999998;59.1;71.43;21.48;27.24;9.86;1227.76;445.1;1.62;3.62;1.81;1.05;4.14;1.2;6.1;0.95;0.76;0.05;-22.400000000000002;-1.06
Davide Biraschi;Genoa;DF;27;14;930;0;0;0;0.1;0.3;0.0;0.0;0.0;0.01;0.03;Serie A;3;0.29;0.00;73.6;81.1;81.6;51.0;-0.3;40.5;1.36;1.79;1.14;3.57;39.93;0.93;76.5;0.39;0.00;61.0;0.71;16.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;22.86;31.07;8.29;10.43;3.79;461.43;188.36;0.21;2.57;0.43;0.21;2.14;1.16;6.21;0.79;0.86;1.79;-16.099999999999998;-1.15
Bjarki Bjarkason;Venezia;FW;21;1;3;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Serie A;0;0.00;0.00;50.0;100.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0.00;0.00;0;0.00;0.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
Jeremie Boga;Sassuolo;FW,MF;25;12;670;0;0;2;1.0;0.8;0.0;0.0;0.27;0.13;0.1;Serie A;15;2.01;0.67;81.4;89.5;79.5;70.0;1.2;27.7;0.25;0.83;0.25;0.83;30.5;2.0;51.1;3.09;0.54;16.7;1.00;12.6;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.0;18.25;22.42;12.08;5.17;0.58;252.67;51.0;0.58;0.5;0.33;0.08;1.33;1.05;3.33;0.08;1.0;0.08;-11.6;-0.92
Luka Bogdan;Salernitana;DF;25;7;489;0;0;0;0.0;0.0;0.0;0.0;0.0;0.01;0.01;Serie A;2;0.37;0.00;71.0;83.9;77.4;48.0;0.0;22.9;0.57;0.71;2.14;3.0;24.71;0.14;100.0;0.23;0.00;50.0;0.00;13.7;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;12.57;17.71;3.71;6.86;1.71;257.57;110.14;0.14;0.14;0.0;0.0;0.71;1.96;3.29;0.29;0.14;1.14;-13.7;-1.95
Giacomo Bonaventura;Fiorentina;MF;32;22;1703;3;3;3;3.9;2.1;0.16;0.16;0.16;0.2;0.11;Serie A;33;1.74;0.69;82.8;90.4;83.7;68.5;0.9;28.3;0.59;0.5;0.95;1.91;52.23;0.91;60.6;3.33;0.63;50.0;1.64;21.0;0;0;0;0;0;0;0.0;0;0.0;0.0;4.33;-0.8999999999999999;36.09;43.59;15.82;15.18;4.55;673.09;137.36;1.18;2.73;0.82;0.0;3.59;0.95;6.5;0.91;2.09;0.64;-17.1;-0.75
Federico Bonazzoli;Salernitana;FW;24;19;1077;4;3;0;2.1;0.5;0.33;0.25;0.0;0.17;0.04;Serie A;25;2.09;0.58;72.9;80.0;77.3;61.1;-0.5;21.9;0.42;0.68;0.16;0.89;24.26;0.74;56.0;1.25;0.00;32.4;0.58;22.2;0;0;0;0;0;0;0.0;0;0.0;0.0;2.33;1.9;11.89;16.32;5.89;3.95;1.74;217.74;43.11;0.11;1.0;0.42;0.0;1.47;1.17;3.42;0.95;2.37;0.58;-20.099999999999998;-0.9999999999999999
Kevin Bonifazi;Bologna;DF;25;12;780;0;0;0;0.3;0.2;0.0;0.0;0.0;0.03;0.02;Serie A;7;0.81;0.00;81.4;90.2;87.3;63.2;-0.2;34.1;0.58;1.0;1.0;2.0;39.75;0.58;87.5;0.92;0.12;64.7;1.42;12.3;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.3;26.67;32.75;7.67;13.17;5.58;607.08;210.5;0.25;2.17;0.25;0.08;2.33;1.03;7.67;1.0;0.58;1.83;-12.0;-1.0
Leonardo Bonucci;Juventus;DF;34;15;1350;3;0;0;3.8;0.4;0.2;0.0;0.0;0.25;0.02;Serie A;9;0.60;0.07;87.5;91.7;95.3;76.7;-0.4;41.2;0.2;1.67;1.8;2.4;68.4;0.07;50.0;0.73;0.07;57.1;1.47;14.5;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.7999999999999998;52.4;59.87;8.8;28.2;15.13;1347.0;501.67;0.27;3.27;0.27;0.0;3.07;0.97;8.07;0.93;0.33;2.13;-10.7;-0.72
Mehdi Bourabia;Spezia;MF;30;6;251;1;1;0;0.0;0.0;0.36;0.36;0.0;0.01;0.01;Serie A;1;0.36;0.36;78.0;92.3;86.7;21.4;0.0;24.1;0.17;1.67;0.83;1.33;22.83;0.67;50.0;0.72;0.36;100.0;0.67;5.8;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;1.0;13.0;16.67;6.0;6.5;0.5;215.17;55.0;0.17;1.17;0.0;0.0;1.0;0.97;4.33;0.83;1.17;0.33;-5.8;-0.96
Edoardo Bove;Roma;MF,DF;19;6;38;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Serie A;0;0.00;0.00;94.7;100.0;100.0;66.7;0.0;60.0;0.17;0.0;0.0;0.17;3.5;0.17;100.0;0.00;0.00;0.0;2.50;0.5;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;3.0;3.17;1.67;1.0;0.33;57.83;9.5;0.0;0.33;0.0;0.0;0.33;0.08;0.5;0.0;0.0;0.0;-0.5;-0.08
