Squad;Competition;Poss%;Gls;G-PK;Ast;xG;xA;Gls/90;G-PK/90;Ast/90;xG/90;xA/90;GA;OG;GA/90;Save%;CS%;PSxG;PSxG/SoT;PSxG+/-;SoTA/90;SoTA/GA;Sh;Sh/90;SoT/90;SoT/G;G-xG;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xA;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;SCA/90;GCA/90;Press%;TklW/90;Blocks/90;Int/90;Err/90;Tkl+Int/90;Touches/90;Dribbles/90;Dribbles%;Points/90;xGA;xGA/90;Aerial%;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90
Everton;Premier League;41.1;24;21;18;24.6;16.0;1.2;1.05;0.9;1.23;0.8;35;2;1.75;61.8;15.0;28.6;0.31;-4.4;4.45;2.54;244;12.2;3.6;3.43;-0.6000000000000014;72.2;83.9;79.5;51.3;2.0;276.1;382.15;109.75;111.75;46.4;5601.15;2082.7;8.85;22.75;7.5;2.65;26.1;19.25;1.95;31.2;12.25;17.3;16.7;0.3;37.2;505.35;8.15;53.1;0.95;28.1;1.4;45.1;89.05;9.7;10.2;18.35;-3.5;-0.16999999999999993
Leeds United;Premier League;55.6;24;20;16;27.2;17.8;1.14;0.95;0.76;1.3;0.85;40;1;1.9;65.4;14.3;33.5;0.29;-5.5;5.1;2.68;294;14.0;4.1;4.3;-3.1999999999999993;78.6;86.5;87.3;55.6;-1.8;378.1;480.95;147.67;169.38;54.0;7411.19;2412.81;10.0;26.33;8.1;1.81;33.33;21.14;1.9;30.3;11.71;16.48;16.33;0.43;37.38;606.24;8.52;48.8;1.05;37.4;1.78;45.1;87.52;11.62;9.52;15.29;-10.2;-0.48
Leicester City;Premier League;49.2;34;33;25;31.1;19.9;1.7;1.65;1.25;1.55;0.99;37;1;1.85;67.3;15.0;32.6;0.28;-3.4;4.9;2.65;239;11.95;4.6;2.79;2.8999999999999986;79.7;87.2;87.5;54.2;5.1;384.5;482.15;158.1;172.3;46.75;7264.6;2422.3;8.1;21.9;6.9;0.95;30.35;17.5;2.55;28.6;11.05;17.2;15.3;0.45;35.35;605.2;7.55;51.9;1.3;36.4;1.82;51.9;82.25;8.85;11.0;17.3;-5.299999999999997;-0.27
Liverpool;Premier League;62.4;58;55;44;54.1;37.3;2.64;2.5;2.0;2.46;1.7;19;1;0.86;69.8;50.0;21.1;0.34;3.1;2.86;3.32;417;18.95;6.36;2.55;3.8999999999999986;82.7;88.8;88.3;66.5;6.7;528.5;639.32;204.95;238.68;78.0;10458.5;3351.18;13.18;46.09;14.05;2.59;51.64;28.55;4.41;32.6;9.59;11.77;14.55;0.18;29.41;752.27;8.55;53.4;2.18;23.0;1.05;52.7;99.41;10.23;7.59;16.45;31.1;1.41
Manchester City;Premier League;67.6;53;49;35;51.5;35.6;2.3;2.13;1.52;2.24;1.55;14;0;0.61;74.5;56.5;12.6;0.23;-1.4;2.22;3.64;419;18.22;6.35;2.98;1.5;88.3;92.8;92.0;74.7;-0.6;628.04;710.91;264.65;276.57;80.17;11845.43;3125.52;13.65;49.52;14.83;2.04;45.17;29.39;3.43;31.4;8.78;10.48;10.39;0.17;23.87;811.52;10.26;56.9;2.48;16.0;0.7;54.2;78.91;8.7;8.61;13.3;35.5;1.5400000000000003
Manchester Utd;Premier League;53.7;35;33;28;31.9;23.2;1.59;1.5;1.27;1.45;1.06;30;2;1.36;73.4;22.7;37.8;0.33;9.8;4.95;3.63;302;13.73;4.55;3.03;3.1000000000000014;81.5;88.4;87.0;63.0;4.8;431.18;529.09;185.68;180.14;57.95;8164.82;2471.14;11.0;34.0;8.27;1.91;35.27;23.14;2.91;29.7;9.45;14.77;13.86;0.27;29.73;645.14;9.05;55.6;1.73;32.9;1.5;55.1;85.82;10.5;8.55;17.5;-1.0;-0.050000000000000044
Newcastle Utd;Premier League;38.5;20;19;14;19.3;13.5;0.95;0.9;0.67;0.92;0.64;43;1;2.05;62.0;9.5;37.4;0.33;-4.6;4.76;2.33;237;11.29;3.14;3.47;0.6999999999999993;73.8;84.3;82.4;52.2;0.5;258.67;350.52;102.05;104.9;45.62;5360.19;2026.1;7.9;18.9;5.19;1.67;18.05;17.0;1.52;27.1;10.62;16.0;15.29;0.24;33.57;469.76;9.29;55.7;0.71;36.8;1.75;50.3;76.57;10.1;9.52;18.38;-17.499999999999996;-0.83
Norwich City;Premier League;44.5;11;9;8;18.9;12.0;0.5;0.41;0.36;0.86;0.55;45;2;2.05;63.9;18.2;40.4;0.33;-2.6;4.91;2.4;221;10.05;2.77;6.78;-7.899999999999999;77.3;86.9;85.0;57.0;-4.0;329.95;426.91;125.18;143.09;56.5;6770.0;2247.5;6.68;20.59;6.18;1.59;25.59;14.86;0.77;26.5;10.59;16.77;16.41;0.18;34.77;546.64;7.91;49.7;0.73;37.5;1.7;47.2;78.05;9.45;12.0;16.36;-18.6;-0.84
Southampton;Premier League;46.9;24;21;15;27.3;18.9;1.09;0.95;0.68;1.24;0.86;34;0;1.55;67.0;22.7;35.0;0.35;1.0;4.41;2.85;265;12.05;4.05;4.24;-3.3000000000000007;74.4;85.4;81.5;45.6;-3.9;311.91;419.05;136.5;134.0;36.14;5850.86;2088.77;8.68;23.68;6.32;1.45;27.55;18.18;1.59;30.6;10.86;15.91;18.73;0.05;36.36;543.73;8.45;54.4;1.14;31.7;1.44;45.0;90.68;12.0;9.68;19.68;-4.399999999999999;-0.19999999999999996
Tottenham;Premier League;51.5;24;22;18;31.6;23.0;1.2;1.1;0.9;1.58;1.15;24;1;1.2;70.1;40.0;23.9;0.3;0.9;3.85;3.21;256;12.8;4.7;4.27;-7.600000000000001;82.4;89.9;87.4;62.1;-5.0;424.2;515.1;181.95;181.8;53.15;7984.9;2541.55;9.45;31.4;9.5;1.9;35.75;20.85;2.25;28.3;10.2;15.55;15.85;0.0;34.65;637.55;9.5;55.6;1.8;21.4;1.07;52.8;80.0;10.45;11.3;18.1;10.200000000000003;0.51
